18,1,0,0,0,0,0.615384615385,0.26772074353,normal
96,5,0,0,0,1,0.307692307692,0.0512637248,normal
27,1,0,0,0,0,0.423076923077,0.107233132607,normal
95,5,4,0,0,1,0.230769230769,0.0601495425396,normal
31,1,1,0,0,0,0.423076923077,0.0954193758281,normal
41,1,0,0,0,0,0.423076923077,0.0902885583103,normal
36,1,0,0,0,0,0.423076923077,0.0976960797833,normal
28,1,0,0,0,0,0.423076923077,0.109011161013,normal
61,1,1,0,0,0,0.346153846154,0.0611476980214,normal
27,1,0,0,0,0,0.423076923077,0.1236596771,normal
29,1,0,0,0,0,0.384615384615,0.122789609057,normal
70,3,0,0,0,0,0.346153846154,0.0651933906383,normal
26,1,0,0,0,0,0.384615384615,0.144861236035,normal
30,1,0,0,0,0,0.423076923077,0.0945771182108,normal
262,14,5,0,0,5,0.153846153846,0.0205448161421,normal
29,1,1,0,0,0,0.384615384615,0.122789609057,normal
45,1,0,0,0,0,0.384615384615,0.0949636087838,normal
27,1,0,0,0,0,0.384615384615,0.131365833255,normal
28,1,0,0,0,0,0.423076923077,0.123121472528,normal
25,1,0,0,0,0,0.423076923077,0.127962733884,normal
26,1,0,0,0,0,0.461538461538,0.103389493512,normal
27,1,0,0,0,0,0.538461538462,0.156694771306,normal
37,1,0,0,0,0,0.423076923077,0.0917714640682,normal
36,1,0,0,0,0,0.461538461538,0.103599084376,normal
37,1,0,0,0,0,0.384615384615,0.0880904908061,normal
27,1,0,0,0,0,0.461538461538,0.0996582363226,normal
263,15,6,0,0,3,0.153846153846,0.0193401048234,normal
28,1,0,0,0,0,0.5,0.120772079198,normal
27,1,0,0,0,0,0.461538461538,0.0996582363226,normal
27,1,0,0,0,0,0.461538461538,0.0996582363226,normal
23,1,0,0,0,0,0.615384615385,0.263772257608,normal
23,1,0,0,0,0,0.615384615385,0.263772257608,normal
23,1,0,0,0,0,0.615384615385,0.263772257608,normal
29,1,0,0,0,0,0.461538461538,0.104882845872,normal
26,1,0,0,0,0,0.538461538462,0.16524195029,normal
35,1,0,0,0,0,0.5,0.130477749664,normal
18,1,0,0,0,0,0.615384615385,0.26772074353,normal
100,5,0,0,0,1,0.230769230769,0.0375351404112,normal
27,1,0,0,0,0,0.423076923077,0.107233132607,normal
